payment_id,order_id,payment_method,payment_amount,payment_status
733,733,Cash on Delivery,13804.85,Pending
734,734,Net Banking,950.62,Paid
735,735,Cash on Delivery,14259.67,Pending
736,736,Debit Card,5385.89,Failed
737,737,UPI,2851.86,Pending
738,738,Credit Card,5648.4,Paid
739,739,Cash on Delivery,3151.02,Pending
740,740,Cash on Delivery,2908.88,Pending
741,741,Debit Card,4997.47,Failed
742,742,Cash on Delivery,12787.08,Pending
743,743,Net Banking,9585.03,Paid
744,744,UPI,2724.25,Paid
745,745,Debit Card,11297.3,Pending
746,746,Credit Card,11997.84,Pending
747,747,Credit Card,6153.0,Paid
748,748,Credit Card,1866.85,Failed
749,749,Debit Card,9387.06,Pending
750,750,Credit Card,1103.94,Pending
751,751,UPI,7279.45,Paid
752,752,Debit Card,11549.41,Failed
753,753,UPI,6290.98,Failed
754,754,Debit Card,2337.05,Paid
755,755,Net Banking,13262.52,Failed
756,756,Debit Card,1406.84,Paid
757,757,Cash on Delivery,5837.04,Paid
758,758,Net Banking,1984.71,Pending
759,759,Cash on Delivery,4182.16,Paid
760,760,Cash on Delivery,13328.12,Paid
761,761,UPI,3728.38,Failed
762,762,Debit Card,3975.6,Failed
763,763,Cash on Delivery,8531.79,Failed
764,764,UPI,7839.2,Failed
765,765,Net Banking,13276.78,Failed
766,766,Net Banking,12552.74,Pending
767,767,Debit Card,13864.12,Paid
768,768,Credit Card,12060.73,Paid
769,769,Net Banking,4097.43,Pending
770,770,UPI,6225.16,Pending
771,771,Net Banking,2306.3,Paid
772,772,UPI,9637.8,Pending
773,773,Credit Card,3609.98,Failed
774,774,Debit Card,6717.88,Failed
775,775,Net Banking,4904.11,Paid
776,776,Cash on Delivery,18695.13,Paid
777,777,Debit Card,2521.28,Paid
778,778,Cash on Delivery,9460.8,Paid
779,779,Net Banking,5389.08,Pending
780,780,Credit Card,9705.22,Pending
781,781,UPI,10969.54,Failed
782,782,Cash on Delivery,4472.6,Paid
783,783,Debit Card,8934.99,Failed
784,784,UPI,9398.57,Paid
785,785,Net Banking,2491.41,Paid
786,786,Net Banking,12275.51,Failed
787,787,Debit Card,4521.42,Pending
788,788,Debit Card,8420.52,Pending
789,789,Net Banking,13706.1,Paid
790,790,Cash on Delivery,7554.16,Pending
791,791,Net Banking,221.34,Failed
792,792,UPI,10010.66,Pending
793,793,Debit Card,1033.6,Failed
794,794,Net Banking,5899.51,Pending
795,795,UPI,13500.29,Pending
796,796,Cash on Delivery,15647.26,Paid
797,797,UPI,2501.97,Paid
798,798,UPI,8287.4,Paid
799,799,Credit Card,1902.21,Paid
800,800,Debit Card,429.12,Failed
801,801,Net Banking,2876.43,Paid
802,802,Credit Card,6387.0,Paid
803,803,Credit Card,7959.38,Failed
804,804,Debit Card,6117.4,Failed
805,805,UPI,7207.2,Failed
806,806,UPI,11560.2,Pending
807,807,UPI,3429.32,Paid
808,808,UPI,3448.19,Pending
809,809,UPI,5560.3,Pending
810,810,Debit Card,4574.21,Failed
811,811,Cash on Delivery,6685.78,Pending
812,812,Debit Card,7782.69,Failed
813,813,Credit Card,14458.63,Paid
814,814,Cash on Delivery,6239.21,Pending
815,815,UPI,7439.69,Paid
816,816,Debit Card,12089.87,Paid
817,817,Cash on Delivery,5200.16,Pending
818,818,Net Banking,5836.62,Failed
819,819,UPI,6986.89,Failed
820,820,Cash on Delivery,4418.48,Paid
821,821,Cash on Delivery,15112.16,Pending
822,822,Net Banking,1655.91,Pending
823,823,Debit Card,5905.04,Failed
824,824,Net Banking,14715.79,Paid
825,825,UPI,173.15,Pending
826,826,Debit Card,3794.76,Failed
827,827,UPI,16806.11,Pending
828,828,Cash on Delivery,4045.97,Paid
829,829,Credit Card,5780.33,Failed
830,830,UPI,3407.12,Paid
831,831,Net Banking,15471.23,Paid
832,832,Credit Card,5790.22,Paid
833,833,Credit Card,1622.44,Pending
834,834,Net Banking,1830.59,Paid
835,835,Net Banking,3323.59,Paid
836,836,Debit Card,12959.19,Paid
837,837,Cash on Delivery,4957.58,Failed
838,838,Cash on Delivery,537.75,Pending
839,839,Debit Card,4557.85,Failed
840,840,Net Banking,5901.01,Failed
841,841,Credit Card,12874.14,Failed
842,842,UPI,3600.46,Paid
843,843,Credit Card,427.89,Pending
844,844,Net Banking,5088.92,Pending
845,845,Cash on Delivery,4528.8,Failed
846,846,Credit Card,5691.3,Pending
847,847,Credit Card,3019.2,Paid
848,848,Debit Card,1091.0,Pending
849,849,Credit Card,9084.27,Failed
850,850,Debit Card,6162.01,Failed
851,851,UPI,6664.58,Paid
852,852,Net Banking,16487.87,Paid
853,853,UPI,4787.68,Paid
854,854,UPI,11344.02,Pending
855,855,Credit Card,516.8,Pending
856,856,UPI,11288.36,Pending
857,857,Cash on Delivery,4981.95,Pending
858,858,Debit Card,3911.76,Pending
859,859,UPI,17449.82,Failed
860,860,UPI,12660.02,Pending
861,861,Net Banking,58.48,Paid
862,862,Credit Card,295.46,Pending
863,863,Cash on Delivery,11747.22,Pending
864,864,Cash on Delivery,600.45,Pending
865,865,UPI,1439.63,Pending
866,866,Debit Card,8425.17,Pending
867,867,UPI,5908.41,Paid
868,868,Net Banking,4252.36,Failed
869,869,Net Banking,2416.04,Paid
870,870,Debit Card,13539.55,Paid
871,871,Net Banking,2327.8,Paid
872,872,Cash on Delivery,1961.26,Pending
873,873,Cash on Delivery,3473.57,Failed
874,874,Net Banking,5511.36,Failed
875,875,Net Banking,4255.16,Paid
876,876,UPI,1272.13,Failed
877,877,Credit Card,1274.0,Paid
878,878,Credit Card,22059.59,Paid
879,879,UPI,16934.8,Paid
880,880,Cash on Delivery,3231.23,Pending
881,881,Credit Card,12674.34,Paid
882,882,Cash on Delivery,10344.86,Paid
883,883,Debit Card,3500.72,Paid
884,884,Cash on Delivery,4719.32,Failed
885,885,Net Banking,8368.49,Pending
886,886,Net Banking,1886.39,Paid
887,887,Credit Card,13249.36,Failed
888,888,Debit Card,3536.71,Pending
889,889,Credit Card,9937.64,Paid
890,890,Credit Card,3318.5,Pending
891,891,Debit Card,10029.52,Failed
892,892,Cash on Delivery,16574.74,Pending
893,893,UPI,4155.33,Paid
894,894,Credit Card,8604.83,Failed
895,895,Cash on Delivery,14739.44,Pending
896,896,Debit Card,9569.89,Failed
897,897,Credit Card,5464.88,Paid
898,898,Debit Card,8324.1,Failed
899,899,UPI,634.07,Paid
900,900,Credit Card,3031.78,Pending
901,901,Net Banking,2148.44,Paid
902,902,UPI,6388.31,Failed
903,903,Net Banking,4278.56,Pending
904,904,Debit Card,11108.63,Paid
905,905,Credit Card,17574.0,Pending
906,906,UPI,13143.54,Paid
907,907,UPI,6362.75,Failed
908,908,Debit Card,13845.66,Pending
909,909,Cash on Delivery,12756.28,Paid
910,910,Net Banking,5967.43,Paid
911,911,Net Banking,2207.88,Paid
912,912,UPI,2851.3,Paid
913,913,Cash on Delivery,3381.36,Failed
914,914,Debit Card,11829.76,Paid
915,915,Cash on Delivery,5193.75,Failed
916,916,Credit Card,1333.52,Paid
917,917,UPI,4341.72,Paid
918,918,Debit Card,8126.02,Failed
919,919,Debit Card,12099.77,Pending
920,920,Net Banking,10029.67,Failed
921,921,Debit Card,1637.52,Failed
922,922,Debit Card,166.73,Failed
923,923,Net Banking,9071.11,Pending
924,924,Debit Card,6592.28,Pending
925,925,UPI,2208.22,Pending
926,926,Debit Card,4318.89,Failed
927,927,Debit Card,4605.58,Failed
928,928,Cash on Delivery,12529.25,Pending
929,929,UPI,5989.42,Pending
930,930,Cash on Delivery,10583.64,Failed
931,931,UPI,15271.6,Paid
932,932,Net Banking,6252.7,Paid
933,933,Credit Card,11861.14,Pending
934,934,Net Banking,145.47,Paid
935,935,Credit Card,7604.01,Failed
936,936,Net Banking,3013.57,Pending
937,937,Credit Card,14234.4,Failed
938,938,UPI,1460.74,Paid
939,939,Net Banking,3653.6,Failed
940,940,UPI,14799.78,Pending
941,941,Cash on Delivery,11083.02,Pending
942,942,Cash on Delivery,2401.8,Paid
943,943,Debit Card,14605.81,Failed
944,944,Debit Card,9454.86,Pending
945,945,Net Banking,11754.63,Failed
946,946,Net Banking,7522.91,Pending
947,947,Debit Card,2948.47,Paid
948,948,UPI,290.48,Failed
949,949,Cash on Delivery,1938.8,Failed
950,950,Debit Card,1106.58,Failed
951,951,UPI,600.45,Pending
952,952,Net Banking,7634.41,Failed
953,953,Debit Card,2942.02,Pending
954,954,UPI,580.96,Paid
955,955,Net Banking,15959.2,Failed
956,956,Credit Card,9798.02,Pending
957,957,Credit Card,3217.29,Failed
958,958,Debit Card,9972.79,Failed
959,959,Cash on Delivery,2588.1,Failed
960,960,Credit Card,13379.8,Pending
961,961,Net Banking,13899.22,Pending
962,962,UPI,10934.44,Pending
963,963,UPI,1475.58,Pending
964,964,UPI,5002.47,Paid
965,965,Debit Card,10046.14,Failed
966,966,UPI,11432.77,Paid
967,967,Net Banking,4711.08,Pending
968,968,UPI,3942.96,Pending
969,969,Debit Card,9993.04,Failed
970,970,UPI,6136.34,Paid
971,971,Debit Card,442.68,Paid
972,972,Debit Card,5110.82,Pending
973,973,Cash on Delivery,4760.12,Failed
974,974,Cash on Delivery,10817.2,Paid
975,975,UPI,12132.05,Failed
976,976,Debit Card,2606.16,Paid
977,977,Credit Card,10326.39,Pending
978,978,Cash on Delivery,5792.6,Paid
979,979,Debit Card,7134.1,Paid
980,980,UPI,5616.3,Pending
981,981,Debit Card,3321.88,Paid
982,982,Net Banking,7614.22,Pending
983,983,Net Banking,12978.3,Paid
984,984,Debit Card,3782.38,Pending
985,985,Cash on Delivery,3500.72,Pending
986,986,Credit Card,13707.87,Failed
987,987,Net Banking,8357.57,Failed
988,988,Debit Card,14125.4,Failed
989,989,Credit Card,3815.26,Failed
990,990,Credit Card,7601.33,Pending
991,991,Credit Card,5659.17,Pending
992,992,Cash on Delivery,13788.11,Paid
993,993,Debit Card,8845.41,Pending
994,994,UPI,563.17,Pending
995,995,Cash on Delivery,3155.09,Failed
996,996,Net Banking,5107.84,Failed
997,997,Credit Card,11387.22,Pending
998,998,Net Banking,9304.29,Paid
999,999,Credit Card,1125.92,Failed
1000,1000,Net Banking,3828.31,Failed
